country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","18-04-2026 22:00:00",25.42742023,86.13886079,PM2.5,40,58,49
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","18-04-2026 22:00:00",25.42742023,86.13886079,NO2,11,17,13
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","18-04-2026 22:00:00",25.42742023,86.13886079,OZONE,21,45,40
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","18-04-2026 22:00:00",26.80365,84.51954,PM10,17,47,26
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-04-2026 22:00:00",25.251013,86.989001,PM2.5,43,98,69
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-04-2026 22:00:00",25.251013,86.989001,PM10,48,110,75
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-04-2026 22:00:00",25.251013,86.989001,NO2,10,13,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","18-04-2026 22:00:00",25.265194,87.012947,SO2,52,72,59
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","18-04-2026 22:00:00",25.204762,85.514960,NH3,3,4,3
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","18-04-2026 22:00:00",14.675886,77.593027,OZONE,30,55,38
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","18-04-2026 22:00:00",13.204880,79.097889,NO2,12,37,21
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","18-04-2026 22:00:00",13.204880,79.097889,SO2,10,20,13
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","18-04-2026 22:00:00",16.316553,80.413302,OZONE,41,66,54
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-04-2026 22:00:00",14.465052,78.824187,SO2,7,18,14
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-04-2026 22:00:00",14.465052,78.824187,OZONE,12,46,24
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","18-04-2026 22:00:00",16.186555,81.13219,NH3,NA,NA,NA
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","18-04-2026 22:00:00",16.186555,81.13219,SO2,12,15,13
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","18-04-2026 22:00:00",25.567520,83.966379,NO2,9,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","18-04-2026 22:00:00",25.567520,83.966379,NH3,3,3,3
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","18-04-2026 22:00:00",25.7808257,84.7446768,CO,8,21,17
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","18-04-2026 22:00:00",24.792403,84.992416,PM2.5,43,323,181
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","18-04-2026 22:00:00",24.792403,84.992416,OZONE,11,95,61
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","18-04-2026 22:00:00",24.762518,84.982348,PM10,60,95,72
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","18-04-2026 22:00:00",25.697189,85.245900,PM2.5,75,145,106
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","18-04-2026 22:00:00",25.697189,85.245900,OZONE,12,178,152
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","18-04-2026 22:00:00",25.560083,87.553265,CO,50,103,96
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","18-04-2026 22:00:00",25.560083,87.553265,OZONE,5,48,14
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","18-04-2026 22:00:00",27.308328,84.531742,PM2.5,7,500,251
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","18-04-2026 22:00:00",27.308328,84.531742,NO2,1,134,15
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","18-04-2026 22:00:00",27.308328,84.531742,CO,31,33,32
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","18-04-2026 22:00:00",27.308328,84.531742,OZONE,8,11,10
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","18-04-2026 22:00:00",26.63086,84.90051,OZONE,3,6,5
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","18-04-2026 22:00:00",26.11442,85.39813,NO2,19,37,29
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","18-04-2026 22:00:00",26.11442,85.39813,OZONE,23,78,61
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","18-04-2026 22:00:00",26.1403345,85.3650192,PM10,54,76,63
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","18-04-2026 22:00:00",26.1403345,85.3650192,SO2,6,27,15
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","18-04-2026 22:00:00",26.1209,85.3647,PM2.5,70,110,85
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","18-04-2026 22:00:00",26.1209,85.3647,NO2,8,16,10
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","18-04-2026 22:00:00",25.610369,85.132568,CO,30,34,33
India,Bihar,Patna,"Muradpur, Patna - BSPCB","18-04-2026 22:00:00",25.619651,85.147382,PM2.5,55,214,112
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","18-04-2026 22:00:00",16.509717,80.612222,OZONE,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","18-04-2026 22:00:00",16.554731,80.649110,NH3,3,6,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","18-04-2026 22:00:00",16.554731,80.649110,SO2,9,18,12
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","18-04-2026 22:00:00",16.554731,80.649110,CO,21,47,32
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","18-04-2026 22:00:00",17.72,83.3,NO2,16,78,46
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","18-04-2026 22:00:00",17.72,83.3,CO,4,88,33
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","18-04-2026 22:00:00",27.103358,93.679645,PM2.5,40,109,67
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","18-04-2026 22:00:00",26.071318,91.87488,PM10,65,189,97
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","18-04-2026 22:00:00",26.071318,91.87488,NO2,2,24,10
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","18-04-2026 22:00:00",26.071318,91.87488,CO,14,120,70
India,Assam,Guwahati,"IITG, Guwahati - PCBA","18-04-2026 22:00:00",26.2028636,91.70046436,PM10,66,137,92
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","18-04-2026 22:00:00",26.10887,91.589544,SO2,3,21,11
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","18-04-2026 22:00:00",26.349082,92.68449,PM2.5,33,86,58
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","18-04-2026 22:00:00",26.349082,92.68449,NH3,4,4,4
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","18-04-2026 22:00:00","14.438164 ","79.966814 ",NH3,3,4,3
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","18-04-2026 22:00:00",13.67,79.35,OZONE,12,70,60
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","18-04-2026 22:00:00",13.615387,79.409230,CO,16,33,24
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","18-04-2026 22:00:00",16.536107,80.594233,PM10,43,101,55
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","18-04-2026 22:00:00",26.446912,91.439057,NH3,6,6,6
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","18-04-2026 22:00:00",25.5626095,84.663264,PM10,35,136,64
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","18-04-2026 22:00:00",25.5626095,84.663264,NH3,1,2,2
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","18-04-2026 22:00:00",16.5150833,80.5181667,NO2,13,24,17
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","18-04-2026 22:00:00",16.5150833,80.5181667,NH3,3,4,3
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","18-04-2026 22:00:00",25.859655,85.77944,CO,9,12,9
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","18-04-2026 22:00:00",24.952822,84.002396,PM2.5,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","18-04-2026 22:00:00",24.952822,84.002396,SO2,NA,NA,NA
